year,interest
2004,77.33333333333333
2005,70.25
2006,63.416666666666664
2007,58.75
2008,54.166666666666664
2009,52.166666666666664
2010,47.333333333333336
2011,47.333333333333336
2012,44.666666666666664
2013,44.25
2014,45.583333333333336
2015,45.75
2016,42.0
2017,43.166666666666664
2018,40.083333333333336
2019,43.333333333333336
