month,interest
1,60.9375
2,58.5625
3,55.8125
4,55.13333333333333
5,49.733333333333334
6,39.53333333333333
7,36.2
8,45.46666666666667
9,59.13333333333333
10,56.53333333333333
11,54.0
12,46.93333333333333
