year,interest
2004,17.0
2005,20.0
2006,11.083333333333334
2007,12.666666666666666
2008,30.333333333333332
2009,25.0
2010,26.083333333333332
2011,39.0
2012,26.083333333333332
2013,25.333333333333332
2014,24.416666666666668
2015,24.25
2016,36.083333333333336
2017,19.583333333333332
2018,16.916666666666668
2019,15.25
